,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P51315,Chandigarh,Studio,1336,3,2,1,5,12,Semi Furnished,"['Gym', 'Garden', 'Parking', 'Swimming Pool']",5.95,1,21767322.1
P51316,Chandigarh,Penthouse,1537,1,2,17,25,1,Semi Furnished,"['Swimming Pool', 'Parking', 'Club House', 'Wi-Fi', 'Security']",4.05,8,7365208.69
P51317,Mumbai,Apartment,2519,4,1,18,13,17,Semi Furnished,"['Gym', 'Club House', 'Power Backup']",8.32,4,39308897.49
P51318,Ahmedabad,Penthouse,1317,4,1,12,20,19,Fully Furnished,"['Wi-Fi', 'Elevator', 'Security', 'Power Backup', 'Gym', 'Parking']",4.85,3,12981965.44
P51319,Hyderabad,Studio,3598,4,1,10,6,9,Fully Furnished,"['Club House', 'Swimming Pool', 'Gym']",4.03,2,9801133.09
P51320,Chennai,Studio,766,5,4,16,21,5,Unfurnished,"['Swimming Pool', 'Wi-Fi', 'Parking']",4.39,4,12058970.26
P51321,Chandigarh,Apartment,2529,2,3,1,26,5,Unfurnished,"['Swimming Pool', 'Power Backup', 'Wi-Fi', 'Garden', 'Gym']",9.51,6,44699088.52
P51322,Chandigarh,Villa,4405,4,1,13,30,5,Unfurnished,"['Club House', 'Elevator', 'Swimming Pool', 'Garden']",6.17,1,40958123.51
P51323,Mumbai,Independent House,3796,3,2,12,30,5,Fully Furnished,"['Parking', 'Power Backup', 'Elevator', 'Swimming Pool']",3.51,5,14553677.16
P51324,Delhi,Duplex,1817,5,3,19,29,5,Semi Furnished,"['Wi-Fi', 'Security', 'Club House']",8.68,3,46441914.25
P51325,Kolkata,Apartment,4631,5,2,19,20,12,Semi Furnished,"['Wi-Fi', 'Garden', 'Gym', 'Club House', 'Power Backup', 'Swimming Pool']",3.09,8,45422557.57
P51326,Chandigarh,Villa,4315,3,2,5,23,5,Fully Furnished,"['Garden', 'Gym', 'Club House', 'Parking']",9.53,8,12155980.43
P51327,Mumbai,Studio,4381,2,2,8,16,7,Semi Furnished,"['Security', 'Elevator', 'Parking']",6.18,9,10266587.29
P51328,Hyderabad,Studio,4088,1,1,8,17,15,Semi Furnished,"['Parking', 'Wi-Fi', 'Elevator']",3.86,10,38883318.1
P51329,Chandigarh,Apartment,3357,3,4,17,27,5,Unfurnished,"['Wi-Fi', 'Elevator', 'Parking']",9.85,10,44857875.93
P51330,Hyderabad,Penthouse,2745,1,2,8,14,5,Semi Furnished,"['Gym', 'Club House', 'Garden']",1.87,9,49188382.63
P51331,Delhi,Duplex,3828,5,4,8,18,6,Semi Furnished,"['Gym', 'Power Backup', 'Security', 'Wi-Fi', 'Swimming Pool']",2.28,7,47703825.61
P51332,Ahmedabad,Villa,2419,4,2,17,26,20,Fully Furnished,"['Security', 'Power Backup', 'Club House', 'Parking', 'Swimming Pool']",1.43,9,3921488.96
P51333,Hyderabad,Studio,1162,3,4,20,18,6,Semi Furnished,"['Power Backup', 'Gym', 'Wi-Fi']",4.65,4,6417884.09
P51334,Mumbai,Independent House,3261,4,2,8,14,19,Unfurnished,"['Gym', 'Elevator', 'Power Backup', 'Swimming Pool']",9.89,1,44911878.36
P51335,Chandigarh,Duplex,4422,1,1,19,10,19,Unfurnished,"['Club House', 'Garden', 'Gym']",8.67,7,5041419.53
P51336,Chennai,Studio,3599,1,2,18,14,1,Unfurnished,"['Power Backup', 'Swimming Pool', 'Gym', 'Club House', 'Wi-Fi']",7.28,6,10845378.9
P51337,Chennai,Villa,4896,4,2,6,18,10,Fully Furnished,"['Gym', 'Power Backup', 'Parking', 'Swimming Pool']",4.25,6,20138999.25
P51338,Pune,Studio,3238,5,2,3,20,12,Semi Furnished,"['Security', 'Elevator', 'Parking', 'Wi-Fi']",5.58,10,40530309.18
P51339,Ahmedabad,Apartment,4527,1,1,15,23,19,Semi Furnished,"['Garden', 'Club House', 'Elevator', 'Swimming Pool', 'Power Backup']",5.36,10,16135869.78
P51340,Chennai,Duplex,4404,3,3,18,27,0,Fully Furnished,"['Security', 'Elevator', 'Club House', 'Power Backup', 'Swimming Pool']",2.14,10,36544423.03
P51341,Chandigarh,Studio,3314,2,1,1,29,17,Fully Furnished,"['Garden', 'Power Backup', 'Wi-Fi', 'Club House', 'Security']",4.55,3,25102088.28
P51342,Chennai,Villa,3164,4,2,6,28,17,Semi Furnished,"['Security', 'Gym', 'Club House']",5.2,7,44099159.17
P51343,Ahmedabad,Studio,4082,4,2,8,11,8,Fully Furnished,"['Security', 'Power Backup', 'Garden', 'Elevator']",4.45,9,2638085.39
P51344,Hyderabad,Studio,3304,5,4,8,27,13,Unfurnished,"['Elevator', 'Security', 'Parking', 'Swimming Pool', 'Garden', 'Wi-Fi']",7.29,1,2521925.52
P51345,Bangalore,Duplex,3022,3,2,6,23,12,Fully Furnished,"['Garden', 'Elevator', 'Parking', 'Swimming Pool', 'Power Backup', 'Gym']",9.9,5,7813539.93
P51346,Chandigarh,Duplex,3981,5,1,8,7,12,Semi Furnished,"['Parking', 'Club House', 'Security', 'Wi-Fi', 'Gym', 'Power Backup']",2.35,2,13344246.37
P51347,Delhi,Duplex,938,2,4,9,5,9,Semi Furnished,"['Wi-Fi', 'Garden', 'Swimming Pool', 'Parking', 'Security', 'Power Backup']",2.76,1,46577275.1
P51348,Ahmedabad,Villa,2383,2,1,10,21,0,Unfurnished,"['Parking', 'Club House', 'Garden']",7.17,1,42707729.4
P51349,Hyderabad,Independent House,4378,2,3,8,23,4,Unfurnished,"['Elevator', 'Gym', 'Power Backup', 'Security']",1.01,2,5247058.43
P51350,Mumbai,Duplex,1730,1,4,20,7,9,Semi Furnished,"['Parking', 'Club House', 'Gym', 'Garden']",8,9,43082649.08
P51351,Chandigarh,Penthouse,3256,1,1,16,10,4,Semi Furnished,"['Garden', 'Security', 'Club House', 'Gym', 'Swimming Pool', 'Elevator']",4.32,3,2422796.59
P51352,Chennai,Penthouse,603,5,2,19,9,18,Fully Furnished,"['Garden', 'Parking', 'Gym', 'Wi-Fi', 'Security']",5.35,4,23867134.68
P51353,Hyderabad,Independent House,2293,5,4,15,12,6,Unfurnished,"['Wi-Fi', 'Garden', 'Parking', 'Security', 'Elevator']",3.2,7,6790187.72
P51354,Chennai,Duplex,2122,5,3,11,12,16,Fully Furnished,"['Garden', 'Gym', 'Wi-Fi', 'Parking']",5.39,1,7945154.42
P51355,Delhi,Duplex,2731,2,1,16,7,0,Fully Furnished,"['Parking', 'Club House', 'Gym', 'Swimming Pool', 'Elevator', 'Security']",2.23,10,40680406.38
P51356,Ahmedabad,Apartment,3337,5,1,10,16,9,Unfurnished,"['Power Backup', 'Elevator', 'Parking']",1.8,10,14498526.77
P51357,Chandigarh,Studio,1196,3,3,20,17,20,Semi Furnished,"['Garden', 'Power Backup', 'Parking', 'Security', 'Wi-Fi']",9.82,10,31124333.81
P51358,Chennai,Independent House,3275,1,1,13,10,13,Unfurnished,"['Gym', 'Power Backup', 'Parking', 'Security', 'Elevator', 'Wi-Fi']",8.94,2,24083226.81
P51359,Mumbai,Studio,4072,1,1,3,8,17,Fully Furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",3.6,3,46705503.98
P51360,Bangalore,Penthouse,3411,1,3,9,11,18,Fully Furnished,"['Parking', 'Club House', 'Security']",3.93,8,37562005.17
P51361,Pune,Independent House,3245,4,2,13,9,5,Unfurnished,"['Security', 'Swimming Pool', 'Power Backup', 'Gym', 'Garden', 'Parking']",0.98,9,18636810.19
P51362,Jaipur,Studio,3716,3,2,2,12,17,Unfurnished,"['Parking', 'Elevator', 'Swimming Pool', 'Power Backup', 'Wi-Fi', 'Gym']",8.08,4,8442820.18
P51363,Bangalore,Studio,4642,5,2,12,23,9,Fully Furnished,"['Elevator', 'Gym', 'Security', 'Wi-Fi', 'Swimming Pool']",0.79,8,16291545.53
P51364,Bangalore,Duplex,640,1,4,14,25,3,Fully Furnished,"['Security', 'Wi-Fi', 'Parking', 'Gym', 'Swimming Pool']",5.98,5,48313827.03
P51365,Chandigarh,Villa,4474,4,2,18,6,15,Fully Furnished,"['Parking', 'Gym', 'Elevator', 'Security']",9.94,3,9338325.26
P51366,Chandigarh,Villa,634,2,1,16,5,11,Unfurnished,"['Gym', 'Garden', 'Security']",9.75,5,12612535.12
P51367,Ahmedabad,Villa,566,5,2,8,27,6,Unfurnished,"['Gym', 'Parking', 'Power Backup', 'Elevator']",9.05,1,42622204.37
P51368,Bangalore,Villa,3746,2,3,3,20,1,Unfurnished,"['Power Backup', 'Parking', 'Gym', 'Wi-Fi', 'Garden']",6.66,3,47917224.89
P51369,Kolkata,Independent House,2429,3,3,18,19,10,Fully Furnished,"['Elevator', 'Parking', 'Club House', 'Swimming Pool']",1.15,6,19993072.76
P51370,Chandigarh,Apartment,4523,3,3,2,16,3,Fully Furnished,"['Parking', 'Elevator', 'Security']",8.53,7,1992306.77
P51371,Ahmedabad,Duplex,1702,2,4,19,5,20,Semi Furnished,"['Swimming Pool', 'Parking', 'Power Backup', 'Garden']",9.55,9,31341565.08
P51372,Pune,Apartment,2385,5,4,7,28,10,Fully Furnished,"['Security', 'Power Backup', 'Garden', 'Parking']",2.12,4,2455462.82
P51373,Pune,Studio,4763,1,1,20,23,19,Semi Furnished,"['Power Backup', 'Parking', 'Gym', 'Security', 'Garden']",5.26,2,9921317.82
P51374,Kolkata,Apartment,1926,4,4,15,5,5,Fully Furnished,"['Elevator', 'Parking', 'Power Backup', 'Security', 'Gym']",3.87,3,43174865.07
P51375,Ahmedabad,Duplex,668,4,2,13,23,2,Unfurnished,"['Gym', 'Garden', 'Swimming Pool', 'Elevator']",6.14,5,29059598.67
P51376,Hyderabad,Studio,3083,1,3,9,16,1,Semi Furnished,"['Swimming Pool', 'Parking', 'Elevator', 'Wi-Fi', 'Garden']",4.46,4,26651804.48
P51377,Delhi,Villa,4354,2,3,8,21,9,Unfurnished,"['Elevator', 'Swimming Pool', 'Garden']",4.3,6,11812221.92
P51378,Hyderabad,Independent House,4445,5,1,4,22,15,Semi Furnished,"['Gym', 'Parking', 'Wi-Fi', 'Swimming Pool', 'Club House', 'Security']",6.45,10,15826336.23
P51379,Pune,Duplex,3877,3,3,18,20,13,Semi Furnished,"['Garden', 'Elevator', 'Swimming Pool', 'Power Backup', 'Gym', 'Security']",7.61,7,39573735.48
P51380,Jaipur,Villa,3069,1,2,16,21,19,Semi Furnished,"['Wi-Fi', 'Security', 'Club House']",8.2,4,30549838.4
P51381,Jaipur,Penthouse,3401,2,3,12,22,7,Unfurnished,"['Parking', 'Elevator', 'Club House', 'Swimming Pool', 'Garden']",9.45,2,13827788.87
P51382,Mumbai,Studio,1560,1,2,10,21,10,Semi Furnished,"['Swimming Pool', 'Elevator', 'Parking', 'Wi-Fi', 'Power Backup', 'Club House']",3.94,4,47376660.64
P51383,Jaipur,Villa,2080,5,4,8,10,17,Fully Furnished,"['Power Backup', 'Security', 'Elevator']",7.48,9,19908921.37
P51384,Delhi,Apartment,4732,4,1,8,14,14,Unfurnished,"['Garden', 'Wi-Fi', 'Parking', 'Club House']",5.85,6,40847373.43
P51385,Delhi,Apartment,4729,5,3,19,16,7,Semi Furnished,"['Wi-Fi', 'Club House', 'Swimming Pool']",1.37,2,39657086.22
P51386,Ahmedabad,Villa,2609,3,1,19,15,8,Semi Furnished,"['Gym', 'Swimming Pool', 'Security', 'Garden']",4.95,9,13301501.31
P51387,Hyderabad,Duplex,4702,1,3,18,17,7,Fully Furnished,"['Security', 'Club House', 'Garden', 'Parking']",2.64,1,20119691.21
P51388,Pune,Independent House,1089,4,4,15,29,7,Unfurnished,"['Power Backup', 'Club House', 'Security', 'Gym', 'Wi-Fi', 'Elevator']",5.46,4,21708980.39
P51389,Kolkata,Apartment,1696,4,4,12,13,1,Fully Furnished,"['Garden', 'Swimming Pool', 'Power Backup', 'Wi-Fi', 'Security', 'Elevator']",5.98,7,2045319.25
P51390,Chennai,Villa,3768,3,2,8,20,4,Semi Furnished,"['Elevator', 'Power Backup', 'Garden', 'Gym', 'Swimming Pool', 'Wi-Fi']",5.18,6,39987934.04
P51391,Hyderabad,Apartment,3420,3,3,6,11,2,Unfurnished,"['Security', 'Elevator', 'Wi-Fi', 'Power Backup', 'Swimming Pool', 'Club House']",5.97,4,18923934.55
P51392,Pune,Studio,914,4,4,4,10,20,Fully Furnished,"['Club House', 'Gym', 'Garden', 'Power Backup', 'Security']",5.5,2,15344340.77
P51393,Pune,Penthouse,3038,3,1,2,13,3,Unfurnished,"['Garden', 'Gym', 'Elevator', 'Parking']",9.83,1,7565682.7
P51394,Ahmedabad,Independent House,1766,4,1,12,27,20,Unfurnished,"['Power Backup', 'Club House', 'Parking', 'Swimming Pool', 'Gym', 'Garden']",6.95,7,47709177.02
P51395,Mumbai,Studio,2121,2,3,1,8,15,Semi Furnished,"['Swimming Pool', 'Garden', 'Power Backup']",8.4,5,38190748.89
P51396,Jaipur,Independent House,4937,1,4,15,16,1,Unfurnished,"['Security', 'Club House', 'Gym']",4.63,6,20911799.71
P51397,Kolkata,Independent House,2451,2,3,11,21,2,Unfurnished,"['Swimming Pool', 'Club House', 'Power Backup', 'Wi-Fi', 'Security', 'Garden']",6.43,9,23295434.66
P51398,Pune,Studio,4866,4,1,12,15,13,Semi Furnished,"['Garden', 'Power Backup', 'Parking', 'Club House', 'Elevator']",2.82,9,1302930.67
P51399,Bangalore,Independent House,4513,4,2,19,11,19,Semi Furnished,"['Parking', 'Gym', 'Security']",4.05,4,33251107.62
P51400,Ahmedabad,Villa,3621,2,3,11,5,5,Fully Furnished,"['Power Backup', 'Garden', 'Club House', 'Security', 'Gym']",1.71,10,6022945.84
P51401,Mumbai,Villa,3862,3,4,15,26,0,Semi Furnished,"['Garden', 'Security', 'Elevator', 'Club House', 'Parking', 'Gym']",2.84,1,14365478.29
P51402,Ahmedabad,Villa,4585,3,3,2,26,10,Semi Furnished,"['Garden', 'Gym', 'Swimming Pool', 'Wi-Fi', 'Elevator']",8.67,10,33368072.14
P51403,Mumbai,Apartment,2835,2,1,14,7,10,Fully Furnished,"['Power Backup', 'Security', 'Parking', 'Elevator', 'Garden', 'Club House']",4.5,4,35437934.83
P51404,Chandigarh,Independent House,976,2,1,4,24,2,Unfurnished,"['Elevator', 'Gym', 'Security', 'Wi-Fi', 'Club House', 'Garden']",9.06,4,43193648.47
P51405,Ahmedabad,Villa,1991,1,1,13,21,16,Semi Furnished,"['Elevator', 'Power Backup', 'Gym', 'Club House', 'Swimming Pool']",5.19,4,23651930.77
P51406,Kolkata,Independent House,4045,1,2,6,20,6,Semi Furnished,"['Wi-Fi', 'Elevator', 'Security', 'Garden', 'Club House']",5.01,7,8832811.58
P51407,Hyderabad,Villa,4782,5,3,4,14,9,Semi Furnished,"['Wi-Fi', 'Parking', 'Club House', 'Garden', 'Swimming Pool']",6.73,10,37306588.43
P51408,Mumbai,Studio,993,1,4,8,25,14,Semi Furnished,"['Garden', 'Parking', 'Swimming Pool', 'Elevator', 'Power Backup']",1.75,8,5529438.35
P51409,Bangalore,Apartment,2998,3,2,7,29,3,Semi Furnished,"['Security', 'Swimming Pool', 'Wi-Fi', 'Club House', 'Parking', 'Elevator']",5.3,4,25415284.68
P51410,Delhi,Independent House,1368,5,4,19,7,9,Fully Furnished,"['Parking', 'Club House', 'Gym', 'Wi-Fi', 'Swimming Pool', 'Garden']",6.02,8,48240860.33
P51411,Hyderabad,Penthouse,4637,5,4,11,18,18,Unfurnished,"['Parking', 'Security', 'Elevator', 'Club House', 'Gym', 'Wi-Fi']",4.92,8,20122402.26
P51412,Ahmedabad,Independent House,1030,4,1,13,20,1,Unfurnished,"['Parking', 'Elevator', 'Club House', 'Security', 'Garden']",3.41,6,37780959.06
P51413,Pune,Penthouse,1833,3,3,13,8,1,Unfurnished,"['Elevator', 'Wi-Fi', 'Security']",3.1,7,44299107.12
P51414,Ahmedabad,Apartment,3105,3,4,20,17,4,Semi Furnished,"['Garden', 'Security', 'Wi-Fi', 'Club House', 'Gym']",5.09,1,47109997.1
P51415,Hyderabad,Studio,1845,5,2,2,19,16,Unfurnished,"['Elevator', 'Gym', 'Garden', 'Parking', 'Security', 'Wi-Fi']",6.05,7,26028214.95
P51416,Chennai,Villa,1422,2,1,6,7,15,Fully Furnished,"['Security', 'Parking', 'Garden', 'Gym']",1.46,2,33198653.28
P51417,Jaipur,Penthouse,1972,5,3,16,20,15,Unfurnished,"['Elevator', 'Swimming Pool', 'Garden', 'Power Backup']",7.89,1,13742253.23
P51418,Kolkata,Duplex,4350,2,4,10,23,9,Semi Furnished,"['Power Backup', 'Swimming Pool', 'Gym', 'Club House', 'Garden', 'Elevator']",7.87,5,11178168.59
P51419,Hyderabad,Villa,3302,3,2,3,18,0,Fully Furnished,"['Power Backup', 'Security', 'Gym', 'Swimming Pool', 'Elevator']",1.5,7,7696666.16
P51420,Hyderabad,Penthouse,4550,5,1,4,21,6,Fully Furnished,"['Club House', 'Garden', 'Power Backup', 'Elevator']",9.8,9,27593432.28
P51421,Kolkata,Independent House,1879,1,4,17,27,8,Semi Furnished,"['Parking', 'Power Backup', 'Elevator', 'Garden', 'Swimming Pool']",1.53,10,5261033.88
P51422,Chennai,Penthouse,3253,5,1,8,19,17,Semi Furnished,"['Garden', 'Power Backup', 'Wi-Fi', 'Swimming Pool', 'Elevator', 'Parking']",1.3,8,44171666.22
P51423,Ahmedabad,Villa,1166,4,2,12,14,3,Fully Furnished,"['Power Backup', 'Elevator', 'Security', 'Swimming Pool', 'Wi-Fi', 'Parking']",2.85,7,8932326.58
P51424,Delhi,Independent House,1481,5,1,12,9,17,Semi Furnished,"['Security', 'Elevator', 'Club House', 'Parking']",8.54,6,30063558.14
P51425,Hyderabad,Duplex,3942,3,1,3,16,15,Semi Furnished,"['Gym', 'Club House', 'Power Backup']",1.54,1,6192977.54
P51426,Hyderabad,Villa,4250,5,1,16,11,6,Semi Furnished,"['Wi-Fi', 'Power Backup', 'Gym', 'Elevator', 'Club House', 'Swimming Pool']",3.67,2,8763250.51
P51427,Ahmedabad,Independent House,1958,5,1,3,30,9,Unfurnished,"['Security', 'Elevator', 'Garden', 'Power Backup', 'Parking']",9.28,5,2387944.54
P51428,Chandigarh,Studio,3629,1,1,11,24,11,Unfurnished,"['Gym', 'Wi-Fi', 'Garden', 'Security']",3.33,4,32161120.03
P51429,Jaipur,Apartment,4648,1,1,6,5,14,Semi Furnished,"['Gym', 'Club House', 'Parking', 'Swimming Pool', 'Elevator', 'Wi-Fi']",3.98,7,20701368.99
P51430,Pune,Studio,4342,3,4,20,22,12,Unfurnished,"['Garden', 'Power Backup', 'Club House', 'Elevator']",9.87,9,12358826.96
P51431,Hyderabad,Independent House,2834,3,2,13,16,17,Fully Furnished,"['Elevator', 'Gym', 'Garden', 'Security', 'Wi-Fi']",8.26,8,13440181.18
P51432,Kolkata,Studio,2011,1,4,12,7,14,Unfurnished,"['Gym', 'Power Backup', 'Garden', 'Swimming Pool', 'Elevator']",1.9,6,31575024.2
P51433,Hyderabad,Duplex,3601,2,4,20,5,10,Unfurnished,"['Swimming Pool', 'Garden', 'Power Backup']",9.54,5,40581438.62
P51434,Mumbai,Duplex,4979,4,3,15,13,14,Semi Furnished,"['Elevator', 'Security', 'Garden', 'Swimming Pool', 'Power Backup', 'Parking']",4.99,7,23813458.51
P51435,Bangalore,Studio,3840,2,2,13,11,17,Semi Furnished,"['Garden', 'Club House', 'Wi-Fi', 'Elevator']",5.8,1,740022.58
P51436,Ahmedabad,Apartment,2236,4,2,8,29,18,Fully Furnished,"['Club House', 'Garden', 'Swimming Pool', 'Wi-Fi', 'Power Backup', 'Elevator']",4.49,10,14376726
P51437,Kolkata,Penthouse,4244,5,1,5,15,20,Fully Furnished,"['Swimming Pool', 'Security', 'Garden', 'Parking', 'Gym']",1.92,3,27000794.46
P51438,Delhi,Villa,2358,1,4,2,14,0,Semi Furnished,"['Gym', 'Security', 'Club House', 'Elevator', 'Garden']",6.6,5,16611395.85
P51439,Chennai,Duplex,3362,2,3,14,17,9,Semi Furnished,"['Swimming Pool', 'Elevator', 'Security', 'Garden', 'Gym']",2.66,10,13706375.81
P51440,Kolkata,Independent House,4247,4,4,1,8,0,Fully Furnished,"['Parking', 'Club House', 'Swimming Pool', 'Garden', 'Elevator', 'Security']",8.52,3,11747666.45
P51441,Mumbai,Villa,800,2,2,1,12,7,Unfurnished,"['Security', 'Club House', 'Elevator', 'Gym']",2.73,7,42719517.02
P51442,Hyderabad,Penthouse,553,4,1,18,30,4,Unfurnished,"['Elevator', 'Power Backup', 'Parking', 'Security', 'Swimming Pool']",1.98,7,30663026.55
P51443,Delhi,Villa,1906,3,3,1,11,6,Semi Furnished,"['Swimming Pool', 'Gym', 'Elevator', 'Wi-Fi', 'Security', 'Parking']",8.78,8,46833731.79
P51444,Hyderabad,Apartment,1724,3,2,5,30,4,Fully Furnished,"['Club House', 'Garden', 'Gym', 'Wi-Fi', 'Power Backup', 'Security']",5.14,5,41214509.93
P51445,Bangalore,Studio,2700,4,1,16,7,8,Fully Furnished,"['Security', 'Wi-Fi', 'Gym']",6.97,1,2808309.55
P51446,Chennai,Apartment,650,1,2,17,22,6,Fully Furnished,"['Garden', 'Club House', 'Security', 'Elevator', 'Parking', 'Power Backup']",2.14,8,22594391.52
P51447,Chandigarh,Duplex,2085,3,3,7,9,6,Semi Furnished,"['Security', 'Club House', 'Gym', 'Swimming Pool']",0.51,2,31817659.85
P51448,Mumbai,Apartment,2398,4,3,8,19,17,Semi Furnished,"['Garden', 'Parking', 'Swimming Pool']",7.33,4,45195322.55
P51449,Kolkata,Apartment,3901,4,2,15,8,16,Unfurnished,"['Elevator', 'Security', 'Power Backup', 'Gym', 'Parking', 'Club House']",8.29,9,43720469.91
P51450,Delhi,Duplex,2316,4,3,11,23,10,Unfurnished,"['Wi-Fi', 'Parking', 'Security', 'Club House', 'Swimming Pool']",1.89,4,42759246.18
P51451,Bangalore,Penthouse,1666,4,3,20,11,2,Semi Furnished,"['Wi-Fi', 'Security', 'Swimming Pool', 'Parking']",1.4,5,5749936.88
P51452,Mumbai,Independent House,865,4,4,20,26,5,Fully Furnished,"['Power Backup', 'Parking', 'Swimming Pool']",0.98,10,23286674.75
P51453,Hyderabad,Villa,1694,5,1,17,18,15,Unfurnished,"['Parking', 'Garden', 'Club House', 'Swimming Pool']",4.38,6,15086662.41
P51454,Chennai,Studio,2644,4,4,17,11,5,Semi Furnished,"['Security', 'Power Backup', 'Garden']",7.6,8,8586687.49
P51455,Bangalore,Apartment,1177,2,4,8,8,2,Unfurnished,"['Wi-Fi', 'Elevator', 'Swimming Pool']",5.6,4,40883997.06
P51456,Chennai,Penthouse,2669,2,1,15,27,7,Fully Furnished,"['Garden', 'Elevator', 'Swimming Pool', 'Security', 'Gym', 'Power Backup']",1.65,9,11301265.31
P51457,Chandigarh,Penthouse,2813,5,1,17,14,9,Semi Furnished,"['Swimming Pool', 'Garden', 'Gym']",8.3,7,35242215.31
P51458,Pune,Studio,755,1,3,11,8,12,Unfurnished,"['Garden', 'Wi-Fi', 'Parking', 'Elevator']",1.32,9,39123578.66
P51459,Hyderabad,Villa,2586,2,2,19,15,9,Semi Furnished,"['Parking', 'Gym', 'Security']",5.04,1,19854550.61
P51460,Kolkata,Studio,4745,5,1,16,18,10,Fully Furnished,"['Security', 'Swimming Pool', 'Elevator', 'Gym', 'Garden']",6.14,1,10077463.91
P51461,Mumbai,Independent House,3133,4,3,5,28,10,Fully Furnished,"['Security', 'Elevator', 'Wi-Fi', 'Parking', 'Garden', 'Power Backup']",9.26,6,18023732.87
P51462,Ahmedabad,Apartment,1933,5,3,12,18,19,Fully Furnished,"['Swimming Pool', 'Elevator', 'Security', 'Parking', 'Garden', 'Club House']",3.2,3,42814585.47
P51463,Delhi,Duplex,2674,3,1,19,8,20,Fully Furnished,"['Club House', 'Elevator', 'Wi-Fi']",5.12,5,35729348.73
P51464,Hyderabad,Penthouse,2336,2,3,15,11,15,Semi Furnished,"['Wi-Fi', 'Parking', 'Garden', 'Power Backup', 'Elevator', 'Security']",8.1,4,35469374.01
P51465,Mumbai,Penthouse,4258,2,1,3,22,14,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Gym', 'Club House']",8.53,5,25866746.15
P51466,Ahmedabad,Independent House,932,1,3,16,15,2,Unfurnished,"['Elevator', 'Wi-Fi', 'Parking', 'Swimming Pool', 'Power Backup', 'Gym']",5.61,6,31882152.38
P51467,Ahmedabad,Villa,655,4,2,10,14,10,Semi Furnished,"['Garden', 'Wi-Fi', 'Club House', 'Swimming Pool']",4.63,1,4203086.47
P51468,Jaipur,Villa,3018,5,4,15,26,15,Semi Furnished,"['Wi-Fi', 'Gym', 'Club House']",5.67,9,33764914.43
P51469,Kolkata,Studio,4481,3,3,6,21,19,Fully Furnished,"['Security', 'Power Backup', 'Club House', 'Parking', 'Gym', 'Garden']",4.14,2,6648727.74
P51470,Hyderabad,Penthouse,4656,4,1,15,24,11,Semi Furnished,"['Security', 'Power Backup', 'Club House']",8.98,3,23053367.26
P51471,Delhi,Penthouse,3551,3,4,7,14,11,Semi Furnished,"['Parking', 'Club House', 'Garden', 'Power Backup', 'Swimming Pool', 'Wi-Fi']",5.82,2,23739713.27
P51472,Bangalore,Independent House,2704,1,2,12,13,1,Semi Furnished,"['Wi-Fi', 'Parking', 'Elevator']",0.78,3,2650760.68
P51473,Delhi,Studio,1138,1,4,3,23,15,Fully Furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Garden']",3.48,1,44006164.49
P51474,Pune,Independent House,3012,1,4,20,14,11,Semi Furnished,"['Security', 'Club House', 'Gym', 'Elevator', 'Garden', 'Power Backup']",3.18,3,22814156.18
P51475,Pune,Villa,610,5,2,10,7,10,Fully Furnished,"['Gym', 'Elevator', 'Power Backup', 'Security', 'Swimming Pool', 'Wi-Fi']",8.02,7,22424340.48
P51476,Chennai,Independent House,4953,2,4,20,12,3,Unfurnished,"['Parking', 'Security', 'Garden', 'Power Backup']",0.75,6,2645711.6
P51477,Hyderabad,Studio,2605,2,1,13,22,7,Fully Furnished,"['Swimming Pool', 'Security', 'Parking', 'Garden']",6.18,8,40114276.15
P51478,Mumbai,Duplex,2557,4,3,4,7,13,Fully Furnished,"['Power Backup', 'Parking', 'Elevator', 'Swimming Pool', 'Gym']",7.46,7,6332615.62
P51479,Jaipur,Villa,2916,1,4,1,5,19,Unfurnished,"['Club House', 'Gym', 'Parking']",2.43,5,20315173.19
P51480,Chandigarh,Duplex,2915,2,4,19,20,18,Unfurnished,"['Parking', 'Swimming Pool', 'Garden', 'Wi-Fi', 'Power Backup', 'Club House']",5.86,2,18801806.28
P51481,Chandigarh,Apartment,4254,5,3,19,18,20,Unfurnished,"['Parking', 'Garden', 'Security', 'Elevator']",7.23,5,35182171.8
P51482,Delhi,Penthouse,824,2,4,8,6,0,Fully Furnished,"['Elevator', 'Security', 'Garden', 'Wi-Fi']",7.3,3,22592507.68
P51483,Ahmedabad,Independent House,2905,1,4,16,29,8,Fully Furnished,"['Garden', 'Parking', 'Wi-Fi', 'Power Backup', 'Swimming Pool']",1.11,1,4779374.96
P51484,Bangalore,Independent House,4830,4,3,14,18,5,Semi Furnished,"['Elevator', 'Swimming Pool', 'Parking']",1.05,5,1389827.58
P51485,Pune,Duplex,753,1,4,4,26,4,Unfurnished,"['Swimming Pool', 'Parking', 'Club House', 'Security']",3.5,6,3666663.22
P51486,Delhi,Apartment,4624,3,1,19,30,14,Unfurnished,"['Power Backup', 'Swimming Pool', 'Gym', 'Garden']",2.75,10,28862329.27
